// ItemIndex	Sub Index	Sub Group	Group	Index	Model Path	Model File	Name	Rank	Kind A	Kind B	Type	Two Hands	Drop Level	Slot	Skill Index	Width	Height	Damage Min	Damage Max	Successful Blocking	Defense	Attack Speed	Walk Speed	Durability	Magic Durability	Magic Power	Combat Power	Attack Success Rate	Req Strength	Req Dexterity	Req Energy	Req Vitality	Req Command	Req Level	Item Value	Money	Set Attribute	Dark Wizard	Dark Knight	Fairy Elf	Magic Gladiator	Dark Lord	Summoner	Rage Fighter	Ice Resistance	Poison Resistance	Lightning Resistance	Fire Resistance	Earth Resistance	Wind Resistance	Water Resistance	Dump (Ném được ra ngoài)	Use (S�? dụng)	Transaction	Personal Store	Store Warehouse	Sell to NPC	Expensive Item	Repair	Overlap
0	0	0	0	0	"Data\Item\"	"sword01.bmd"	"Chùy Th�?"	1	1	1	1	0	6	0	0	1	2	6	11	0	0	50	0	20	0	0	0	0	40	40	0	0	0	0	0	0	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	1	0	1	1	1	1	0	1	0
1	1	0	0	1	"Data\Item\"	"sword02.bmd"	"Đoản Đao"	1	1	1	1	0	3	0	0	1	3	3	7	0	0	20	0	22	0	0	0	0	60	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	1	0	1	1	1	1	0	1	0
2	2	0	0	2	"Data\Item\"	"sword03.bmd"	"Trường Kiếm"	1	1	1	1	0	9	0	0	1	3	9	15	0	0	40	0	23	0	0	0	0	50	40	0	0	0	0	0	0	1	0	1	1	1	1	1	0	0	0	0	0	0	0	0	1	0	1	1	1	1	0	1	0
3	3	0	0	3	"Data\Item\"	"sword04.bmd"	"Kiếm Nhật"	1	1	1	1	0	16	0	20	1	3	16	26	0	0	35	0	27	0	0	0	0	80	40	0	0	0	0	0	0	1	0	1	0	1	1	0	0	0	0	0	0	0	0	0	1	0	1	1	1	1	0	1	0
4	4	0	0	4	"Data\Item\"	"sword05.bmd"	"Đao Sát Th�?"	1	1	1	1	0	12	0	21	1	3	12	18	0	0	30	0	24	0	0	0	0	60	40	0	0	0	0	0	0	1	0	1	0	1	1	0	0	0	0	0	0	0	0	0	1	0	1	1	1	1	0	1	0
5	5	0	0	5	"Data\Item\"	"sword06.bmd"	"Khoái Đao"	2	1	1	1	0	36	0	22	1	3	36	47	0	0	30	0	39	0	0	0	0	80	50	0	0	0	0	0	0	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	1	0	1	1	1	1	0	1	0
6	6	0	0	6	"Data\Item\"	"sword07.bmd"	"Kiếm La Mã"	1	1	1	1	0	20	0	20	1	3	20	30	0	0	20	0	30	0	0	0	0	110	0	0	0	0	0	0	0	1	0	1	1	1	1	0	0	0	0	0	0	0	0	0	1	0	1	1	1	1	0	1	0
7	7	0	0	7	"Data\Item\"	"sword08.bmd"	"Mã Tấu"	1	1	1	1	0	24	0	21	1	3	24	34	0	0	25	0	34	0	0	0	0	120	0	0	0	0	0	0	0	1	0	1	0	1	1	0	0	0	0	0	0	0	0	0	1	0	1	1	1	1	0	1	0
8	8	0	0	8	"Data\Item\"	"sword09.bmd"	"Xà Đao"	1	1	1	1	0	30	0	21	1	3	30	40	0	0	20	0	36	0	0	0	0	130	0	0	0	0	0	0	0	1	0	1	0	1	1	0	0	0	0	0	0	0	0	0	1	0	1	1	1	1	0	1	0
9	9	0	0	9	"Data\Item\"	"sword10.bmd"	"Kiếm Rồng Lửa"	2	1	1	1	1	32	0	20	2	3	32	46	0	0	30	0	40	0	0	0	0	103	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	1	0	1	0
